CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-12-28 00:00:00,PT1H,COP/kWh,TX1,325.0833
PB_Int,2025-12-28 03:00:00,PT1H,COP/kWh,TX1,280.0833
PB_Int,2025-12-28 10:00:00,PT1H,COP/kWh,TX1,236.9833
PB_Int,2025-12-28 11:00:00,PT1H,COP/kWh,TX1,245.0833
PB_Int,2025-12-28 16:00:00,PT1H,COP/kWh,TX1,325.0833
PB_Int,2025-12-28 15:00:00,PT1H,COP/kWh,TX1,280.0833
PB_Int,2025-12-28 12:00:00,PT1H,COP/kWh,TX1,245.0833
PB_Int,2025-12-28 18:00:00,PT1H,COP/kWh,TX1,330.0833
PB_Int,2025-12-28 14:00:00,PT1H,COP/kWh,TX1,280.0833
PB_Int,2025-12-28 22:00:00,PT1H,COP/kWh,TX1,325.0833
PB_Int,2025-12-28 07:00:00,PT1H,COP/kWh,TX1,280.0833
PB_Int,2025-12-28 01:00:00,PT1H,COP/kWh,TX1,325.0833
PB_Int,2025-12-28 21:00:00,PT1H,COP/kWh,TX1,330.0833
PB_Int,2025-12-28 20:00:00,PT1H,COP/kWh,TX1,330.0833
PB_Int,2025-12-28 09:00:00,PT1H,COP/kWh,TX1,236.9833
PB_Int,2025-12-28 17:00:00,PT1H,COP/kWh,TX1,325.0833
PB_Int,2025-12-27 01:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 06:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-27 07:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 04:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 05:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-27 00:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-27 15:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-27 10:00:00,PT1H,COP/kWh,TX1,237.1668
PB_Int,2025-12-27 20:00:00,PT1H,COP/kWh,TX1,390.2668
